ID,Link,Address,Sale Type,Sale Date,Price,Page Number
feb10464-d50f-4a41-a298-e2032d4add6b,/adresse/skelvej-10-2640-hedehusene-01696794__10_______,,Skelvej 102640 Hedehusene,Tvangsauktion,16-12-2015,9
feb10464-d50f-4a41-a298-e2032d4add6b,/adresse/skelvej-10-2640-hedehusene-01696794__10_______,,Fri handel,10-08-1999,1.308.000,9
feb10464-d50f-4a41-a298-e2032d4add6b,/adresse/skelvej-10-2640-hedehusene-01696794__10_______,,Fri handel,04-03-1998,1.068.000,9
7ba1ef2b-22cd-4c99-abff-b258480d8f54,/adresse/selma-lagerloefs-alle-7-1-tv-2860-soeborg-01590734___7__1__tv,,"Selma Lagerløfs Alle 7, 1. tv.2860 Søborg",Tvangsauktion,28-10-2013,9
7ba1ef2b-22cd-4c99-abff-b258480d8f54,/adresse/selma-lagerloefs-alle-7-1-tv-2860-soeborg-01590734___7__1__tv,,Fri handel,04-07-2006,1.100.000,9
7ba1ef2b-22cd-4c99-abff-b258480d8f54,/adresse/selma-lagerloefs-alle-7-1-tv-2860-soeborg-01590734___7__1__tv,,Fri handel,03-02-2005,895.000,9
5e7358dc-4631-4c1e-ba99-c68d7d122ad3,/adresse/schimmelmannsvej-21-2930-klampenborg-01570691__21_______,,Schimmelmannsvej 212930 Klampenborg,Tvangsauktion,02-06-2010,9
5e7358dc-4631-4c1e-ba99-c68d7d122ad3,/adresse/schimmelmannsvej-21-2930-klampenborg-01570691__21_______,,Fri handel,05-10-2005,5.500.000,9
5e7358dc-4631-4c1e-ba99-c68d7d122ad3,/adresse/schimmelmannsvej-21-2930-klampenborg-01570691__21_______,,Fri handel,05-10-1995,2.212.000,9
ac611ae2-26e8-4191-be06-2df8e4986607,/adresse/saven-d-3-1-1-2630-taastrup-01696696___3__1___1,,"Saven D 3, 1. 1.2630 Taastrup",Tvangsauktion,22-10-2012,9
ac611ae2-26e8-4191-be06-2df8e4986607,/adresse/saven-d-3-1-1-2630-taastrup-01696696___3__1___1,,Fri handel,30-04-2008,443.462,9
ac611ae2-26e8-4191-be06-2df8e4986607,/adresse/saven-d-3-1-1-2630-taastrup-01696696___3__1___1,,Fri handel,11-03-2002,912.278,9
313da1e6-9bf1-4190-b919-f30982119e4c,/adresse/saven-c-4-0-2-2630-taastrup-01696694___4_st___2,,"Saven C 4, st. 2.2630 Taastrup",Tvangsauktion,31-07-2018,10
313da1e6-9bf1-4190-b919-f30982119e4c,/adresse/saven-c-4-0-2-2630-taastrup-01696694___4_st___2,,Fri handel,16-04-2007,685.000,10
313da1e6-9bf1-4190-b919-f30982119e4c,/adresse/saven-c-4-0-2-2630-taastrup-01696694___4_st___2,,Fri handel,04-07-2004,641.551,10
7b18151e-2c13-4dfc-b173-f42593f0a0f5,/adresse/saven-c-1-1-2-2630-taastrup-01696694___1__1___2,,"Saven C 1, 1. 2.2630 Taastrup",Tvangsauktion,06-12-2011,10
7b18151e-2c13-4dfc-b173-f42593f0a0f5,/adresse/saven-c-1-1-2-2630-taastrup-01696694___1__1___2,,Fri handel,15-11-2005,1.895.000,10
7b18151e-2c13-4dfc-b173-f42593f0a0f5,/adresse/saven-c-1-1-2-2630-taastrup-01696694___1__1___2,,Fri handel,07-11-2003,1.322.093,10
fd927821-10db-49b3-bd5f-9951265283bf,/adresse/saven-b-6-3-1-2630-taastrup-01696692___6__3___1,,"Saven B 6, 3. 1.2630 Taastrup",Tvangsauktion,10-11-2009,10
fd927821-10db-49b3-bd5f-9951265283bf,/adresse/saven-b-6-3-1-2630-taastrup-01696692___6__3___1,,Fri handel,21-03-2005,611.936,10
fd927821-10db-49b3-bd5f-9951265283bf,/adresse/saven-b-6-3-1-2630-taastrup-01696692___6__3___1,,Fri handel,09-12-2004,611.936,10
86e23b3a-6913-4c62-9c83-b914033ed966,/adresse/saven-b-5-0-4-2630-taastrup-01696692___5_st___4,,"Saven B 5, st. 4.2630 Taastrup",Tvangsauktion,11-11-2009,10
