Property ID,Address,Postal_Code,Property_Type,Sale Type,Sale Date,Price,Total Sales,City,Floor_Count,Heating_Type,Link,Living_Area,Roof_Type,Rooms,URL,Wall_Material,Weighted_Area
aertemarken-119a-1-2860-soeborg-01590981119a__1____,"Ærtemarken 119A, 1.",2860,Villalejlighed,Tvangsauktion,05-08-2020,8592634.0,2,,,,,,,,,,
aertemarken-119a-0-th-2860-soeborg-01590981119a_st__th,"Ærtemarken 119A, st. th.",2860,Villalejlighed,Tvangsauktion,05-08-2020,8592634.0,2,,,,,,,,,,
taastrup-have-38-1-mf-2630-taastrup-01698960__38__1__mf,"Taastrup Have 38, 1. mf.",2630,Ejerlejlighed,Tvangsauktion,15-06-2020,1045000.0,3,Taastrup,1,Fjernvarme/blokvarme,/adresse/taastrup-have-38-1-mf-2630-taastrup-01698960__38__1__mf,41.0,Fibercement herunder asbest,1.0,https://www.boligsiden.dk/adresse/taastrup-have-38-1-mf-2630-taastrup-01698960__38__1__mf,Mursten,Ikke oplyst
nyhoejsvej-12-2630-taastrup-01695495__12_______,Nyhøjsvej 12,2630,Villa,Tvangsauktion,28-02-2020,2123700.0,2,Taastrup,1.0,Fjernvarme/blokvarme,/adresse/nyhoejsvej-12-2630-taastrup-01695495__12_______,158.0,Fibercement herunder asbest,5.0,https://www.boligsiden.dk/adresse/nyhoejsvej-12-2630-taastrup-01695495__12_______,Mursten,160.6
topperne-5-2-22-2620-albertslund-01650532___5__2__22,"Topperne 5, 2. 22.",2620,Ejerlejlighed,Tvangsauktion,13-01-2020,1058347.0,3,Albertslund,1,Fjernvarme/blokvarme,/adresse/topperne-5-2-22-2620-albertslund-01650532___5__2__22,49.0,Fibercement herunder asbest,2.0,https://www.boligsiden.dk/adresse/topperne-5-2-22-2620-albertslund-01650532___5__2__22,Betonelementer,Ikke oplyst
christiansdal-4-2610-roedovre-01750122___4_______,Christiansdal 4,2610,Villa,Tvangsauktion,29-11-2019,2884166.0,2,Rødovre,1.0,Centralvarme med én fyringsenhed,/adresse/christiansdal-4-2610-roedovre-01750122___4_______,140.0,Tegl,6.0,https://www.boligsiden.dk/adresse/christiansdal-4-2610-roedovre-01750122___4_______,Mursten,175.65
krarupvej-23-2610-roedovre-01750474__23_______,Krarupvej 23,2610,Villa,Tvangsauktion,11-10-2019,4283500.0,3,Rødovre,1.0,Centralvarme med én fyringsenhed,/adresse/krarupvej-23-2610-roedovre-01750474__23_______,183.0,Tegl,8.0,https://www.boligsiden.dk/adresse/krarupvej-23-2610-roedovre-01750474__23_______,Letbetonsten,193
leen-d-2-3-4-2630-taastrup-01694320___2__3___4,"Leen D 2, 3. 4.",2630,Ejerlejlighed,Tvangsauktion,24-09-2019,895000.0,3,Taastrup,1,Fjernvarme/blokvarme,/adresse/leen-d-2-3-4-2630-taastrup-01694320___2__3___4,35.0,Tagpap med lille hældning,1.0,https://www.boligsiden.dk/adresse/leen-d-2-3-4-2630-taastrup-01694320___2__3___4,Betonelementer,Ikke oplyst
leen-d-2-3-4-2630-taastrup-01694320___2__3___4,"Leen D 2, 3. 4.",2630,Ejerlejlighed,Tvangsauktion,03-11-2016,765000.0,3,Taastrup,1,Fjernvarme/blokvarme,/adresse/leen-d-2-3-4-2630-taastrup-01694320___2__3___4,35.0,Tagpap med lille hældning,1.0,https://www.boligsiden.dk/adresse/leen-d-2-3-4-2630-taastrup-01694320___2__3___4,Betonelementer,Ikke oplyst
hedegraensen-40-2605-broendby-01530231__40_______,Hedegrænsen 40,2605,Villa,Tvangsauktion,06-03-2019,2724393.0,2,Brøndby,1.0,Fjernvarme/blokvarme,/adresse/hedegraensen-40-2605-broendby-01530231__40_______,152.0,Fibercement herunder asbest,5.0,https://www.boligsiden.dk/adresse/hedegraensen-40-2605-broendby-01530231__40_______,Mursten,208.2
