Property_ID,Property Type,Sale Type,Sale Date,Raw Sale Type,Raw Sale Date,Raw Price,Total Sales,Address,City,floor_count,Heating_Type,Link,Living_Area,Postal_Code,Roof_Type,Rooms,Source_Site,URL,Wall_Material,Weighted_Area
geelsvaenget-10-2830-virum-01730289__10_______,Rækkehus,Family Sale,30-04-2025,Familie handel,30-04-2025,2.600.000,3,Geelsvænget 10,Virum,1,Centralvarme med én fyringsenhed,/adresse/geelsvaenget-10-2830-virum-01730289__10_______,80.0,2830.0,Tagpap med stor hældning,4.0,boligsiden,https://www.boligsiden.dk/adresse/geelsvaenget-10-2830-virum-01730289__10_______,Mursten,99.45
geelsvaenget-10-2830-virum-01730289__10_______,Rækkehus,Free Sale,29-05-2015,Fri handel,29-05-2015,3.495.000,3,Geelsvænget 10,Virum,1,Centralvarme med én fyringsenhed,/adresse/geelsvaenget-10-2830-virum-01730289__10_______,80.0,2830.0,Tagpap med stor hældning,4.0,boligsiden,https://www.boligsiden.dk/adresse/geelsvaenget-10-2830-virum-01730289__10_______,Mursten,99.45
geelsvaenget-10-2830-virum-01730289__10_______,Rækkehus,Free Sale,13-08-2001,Fri handel,13-08-2001,1.810.000,3,Geelsvænget 10,Virum,1,Centralvarme med én fyringsenhed,/adresse/geelsvaenget-10-2830-virum-01730289__10_______,80.0,2830.0,Tagpap med stor hældning,4.0,boligsiden,https://www.boligsiden.dk/adresse/geelsvaenget-10-2830-virum-01730289__10_______,Mursten,99.45
lille-strandvej-32-1-tv-2900-hellerup-01570510__32__1__tv,Ejerlejlighed,Free Sale,30-04-2025,Fri handel,30-04-2025,19.300.000,3,"Lille Strandvej 32, 1. tv.",Hellerup,1,Fjernvarme/blokvarme,/adresse/lille-strandvej-32-1-tv-2900-hellerup-01570510__32__1__tv,157.0,2900.0,Tagpap med stor hældning,5.0,boligsiden,https://www.boligsiden.dk/adresse/lille-strandvej-32-1-tv-2900-hellerup-01570510__32__1__tv,Mursten,Ikke oplyst
lille-strandvej-32-1-tv-2900-hellerup-01570510__32__1__tv,Ejerlejlighed,Free Sale,09-11-2003,Fri handel,09-11-2003,2.737.500,3,"Lille Strandvej 32, 1. tv.",Hellerup,1,Fjernvarme/blokvarme,/adresse/lille-strandvej-32-1-tv-2900-hellerup-01570510__32__1__tv,157.0,2900.0,Tagpap med stor hældning,5.0,boligsiden,https://www.boligsiden.dk/adresse/lille-strandvej-32-1-tv-2900-hellerup-01570510__32__1__tv,Mursten,Ikke oplyst
lille-strandvej-32-1-tv-2900-hellerup-01570510__32__1__tv,Ejerlejlighed,Free Sale,06-02-1996,Fri handel,06-02-1996,1.100.000,3,"Lille Strandvej 32, 1. tv.",Hellerup,1,Fjernvarme/blokvarme,/adresse/lille-strandvej-32-1-tv-2900-hellerup-01570510__32__1__tv,157.0,2900.0,Tagpap med stor hældning,5.0,boligsiden,https://www.boligsiden.dk/adresse/lille-strandvej-32-1-tv-2900-hellerup-01570510__32__1__tv,Mursten,Ikke oplyst
blichersvej-5-2630-taastrup-01690514___5_______,Villa,Family Sale,30-04-2025,Familie handel,30-04-2025,983.333,2,Blichersvej 5,Taastrup,1,Fjernvarme/blokvarme,/adresse/blichersvej-5-2630-taastrup-01690514___5_______,129.0,2630.0,Andet materiale,5.0,boligsiden,https://www.boligsiden.dk/adresse/blichersvej-5-2630-taastrup-01690514___5_______,Mursten,132.6
blichersvej-5-2630-taastrup-01690514___5_______,Villa,Free Sale,13-02-2024,Fri handel,13-02-2024,2.950.000,2,Blichersvej 5,Taastrup,1,Fjernvarme/blokvarme,/adresse/blichersvej-5-2630-taastrup-01690514___5_______,129.0,2630.0,Andet materiale,5.0,boligsiden,https://www.boligsiden.dk/adresse/blichersvej-5-2630-taastrup-01690514___5_______,Mursten,132.6
lauggaards-alle-14-2-th-2860-soeborg-01590498__14__2__th,Ejerlejlighed,Free Sale,30-04-2025,Fri handel,30-04-2025,2.035.000,3,"Lauggårds Alle 14, 2. th.",Søborg,1,Fjernvarme/blokvarme,/adresse/lauggaards-alle-14-2-th-2860-soeborg-01590498__14__2__th,59.0,2860.0,Tegl,2.0,boligsiden,https://www.boligsiden.dk/adresse/lauggaards-alle-14-2-th-2860-soeborg-01590498__14__2__th,Mursten,Ikke oplyst
lauggaards-alle-14-2-th-2860-soeborg-01590498__14__2__th,Ejerlejlighed,Free Sale,27-12-2017,Fri handel,27-12-2017,1.657.500,3,"Lauggårds Alle 14, 2. th.",Søborg,1,Fjernvarme/blokvarme,/adresse/lauggaards-alle-14-2-th-2860-soeborg-01590498__14__2__th,59.0,2860.0,Tegl,2.0,boligsiden,https://www.boligsiden.dk/adresse/lauggaards-alle-14-2-th-2860-soeborg-01590498__14__2__th,Mursten,Ikke oplyst
