Property_ID,Address,City,Floor,Floor_Count,Heating_Type,Last_Remodel_Year,Link,Living_Area,Postal_Code,Price,Property_Type,Roof_Type,Rooms,Scrape_Date,Source_Site,URL,Wall_Material,Weighted_Area
hovedvejen-60a-1-tv-2600-glostrup-01610213_60a__1__tv,"Hovedvejen 60A, 1. tv.",Glostrup,N/A,2,Elvarme,Ikke oplyst,/adresse/hovedvejen-60a-1-tv-2600-glostrup-01610213_60a__1__tv,51,2600,1628000,Ejerlejlighed,Fibercement herunder asbest,2,2025-04-27,boligsiden,https://www.boligsiden.dk/adresse/hovedvejen-60a-1-tv-2600-glostrup-01610213_60a__1__tv,Mursten,Ikke oplyst
hoejsgaards-alle-37-2900-hellerup-01570386__37_______,Højsgårds Alle 37,Hellerup,N/A,1,Fjernvarme/blokvarme,Ikke oplyst,/adresse/hoejsgaards-alle-37-2900-hellerup-01570386__37_______,141,2900,7890000,Villa,Tegl,6,2025-04-27,boligsiden,https://www.boligsiden.dk/adresse/hoejsgaards-alle-37-2900-hellerup-01570386__37_______,Mursten,183.45
agerlunden-34-2660-broendby-strand-01530002__34_______,Agerlunden 34,Brøndby Strand,N/A,1,Fjernvarme/blokvarme,Ikke oplyst,/adresse/agerlunden-34-2660-broendby-strand-01530002__34_______,168,2660,5225000,Villa,Tegl,5,2025-04-27,boligsiden,https://www.boligsiden.dk/adresse/agerlunden-34-2660-broendby-strand-01530002__34_______,Mursten,168
fagerbo-57-2640-hedehusene-01691597__57_______,Fagerbo 57,Hedehusene,N/A,1,Centralvarme med én fyringsenhed,Ikke oplyst,/adresse/fagerbo-57-2640-hedehusene-01691597__57_______,109,2640,3035000,Villa,Fibercement herunder asbest,4,2025-04-27,boligsiden,https://www.boligsiden.dk/adresse/fagerbo-57-2640-hedehusene-01691597__57_______,Mursten,148
bindesboellsvej-8-2920-charlottenlund-01570058___8_______,Bindesbøllsvej 8,Charlottenlund,N/A,1,Centralvarme med én fyringsenhed,Ikke oplyst,/adresse/bindesboellsvej-8-2920-charlottenlund-01570058___8_______,300,2920,23505000,Villa,Tegl,8,2025-04-27,boligsiden,https://www.boligsiden.dk/adresse/bindesboellsvej-8-2920-charlottenlund-01570058___8_______,Mursten,386
kallerupvej-35-2640-hedehusene-01693627__35_______,Kallerupvej 35,Hedehusene,N/A,1,Centralvarme med én fyringsenhed,Ikke oplyst,/adresse/kallerupvej-35-2640-hedehusene-01693627__35_______,80,2640,2013000,Villa,Fibercement herunder asbest,4,2025-04-27,boligsiden,https://www.boligsiden.dk/adresse/kallerupvej-35-2640-hedehusene-01693627__35_______,Letbetonsten,95.75
viggo-rothes-vej-13-2920-charlottenlund-01570936__13_______,Viggo Rothes Vej 13,Charlottenlund,N/A,2,Fjernvarme/blokvarme,1998,/adresse/viggo-rothes-vej-13-2920-charlottenlund-01570936__13_______,274,2920,21874000,Villa,Fibercement herunder asbest,7,2025-04-27,boligsiden,https://www.boligsiden.dk/adresse/viggo-rothes-vej-13-2920-charlottenlund-01570936__13_______,Mursten,340.9
robinievej-60-2620-albertslund-01650387__60_______,Robinievej 60,Albertslund,N/A,2,Fjernvarme/blokvarme,Ikke oplyst,/adresse/robinievej-60-2620-albertslund-01650387__60_______,110,2620,3209000,Rækkehus,Tagpap med stor hældning,4,2025-04-27,boligsiden,https://www.boligsiden.dk/adresse/robinievej-60-2620-albertslund-01650387__60_______,Mursten,111.25
gammelgaards-alle-27-2-26-2665-vallensbaek-strand-01871704__27__2__26,"Gammelgårds Alle 27, 2. 26.",Vallensbæk Strand,N/A,6,Fjernvarme/blokvarme,2019,/adresse/gammelgaards-alle-27-2-26-2665-vallensbaek-strand-01871704__27__2__26,88,2665,2237000,Ejerlejlighed,Tagpap med lille hældning,3,2025-04-27,boligsiden,https://www.boligsiden.dk/adresse/gammelgaards-alle-27-2-26-2665-vallensbaek-strand-01871704__27__2__26,Betonelementer,Ikke oplyst
birkevang-40-2640-hedehusene-01690430__40_______,Birkevang 40,Hedehusene,N/A,1,Centralvarme med én fyringsenhed,Ikke oplyst,/adresse/birkevang-40-2640-hedehusene-01690430__40_______,98,2640,2992000,Villa,Fibercement herunder asbest,4,2025-04-27,boligsiden,https://www.boligsiden.dk/adresse/birkevang-40-2640-hedehusene-01690430__40_______,Mursten,110
batterivej-1-2860-soeborg-01590055___1_______,Batterivej 1,Søborg,N/A,1,Centralvarme med én fyringsenhed,Ikke oplyst,/adresse/batterivej-1-2860-soeborg-01590055___1_______,100,2860,3934000,Villa,Tegl,4,2025-04-27,boligsiden,https://www.boligsiden.dk/adresse/batterivej-1-2860-soeborg-01590055___1_______,Mursten,134.15
