Property ID,Address,Postal_Code,Property_Type,Sale Type,Sale Date,Price,Sale Index,Total Sales
landsbygaden-30b-2630-taastrup-01694288_30b_______,Landsbygaden 30B,2630,Rækkehus,Tvangsauktion,20-05-2021,2650000.0,1,1
herstedvestervej-12-2620-albertslund-01650190__12_______,Herstedvestervej 12,2620,Villa,Tvangsauktion,25-01-2021,3087200.0,1,3
herstedvestervej-12-2620-albertslund-01650190__12_______,Herstedvestervej 12,2620,Villa,Tvangsauktion,11-04-2016,841132.0,2,3
herstedvestervej-12-2620-albertslund-01650190__12_______,Herstedvestervej 12,2620,Villa,Fri handel,21-07-1998,1277000.0,3,3
vejlebrovej-95-3-49-2635-ishoej-01830850__95__3__49,"Vejlebrovej 95, 3. 49.",2635,Ejerlejlighed,Tvangsauktion,20-10-2020,1130000.0,1,3
vejlebrovej-95-3-49-2635-ishoej-01830850__95__3__49,"Vejlebrovej 95, 3. 49.",2635,Ejerlejlighed,Fri handel,01-10-2007,1320000.0,2,3
vejlebrovej-95-3-49-2635-ishoej-01830850__95__3__49,"Vejlebrovej 95, 3. 49.",2635,Ejerlejlighed,Fri handel,01-10-2007,1320000.0,3,3
tranedalen-19-2635-ishoej-01830760__19_______,Tranedalen 19,2635,Villa,Tvangsauktion,20-10-2020,2600000.0,1,3
tranedalen-19-2635-ishoej-01830760__19_______,Tranedalen 19,2635,Villa,Fri handel,16-10-2007,2600000.0,2,3
tranedalen-19-2635-ishoej-01830760__19_______,Tranedalen 19,2635,Villa,Fri handel,24-05-2005,2224504.0,3,3
bellevuekrogen-16-2930-klampenborg-01570043__16_______,Bellevuekrogen 16,2930,Rækkehus,Tvangsauktion,02-09-2020,6600000.0,1,1
aertemarken-119a-0-tv-2860-soeborg-01590981119a_st__tv,"Ærtemarken 119A, st. tv.",2860,Villalejlighed,Tvangsauktion,05-08-2020,8592634.0,1,2
aertemarken-119a-0-tv-2860-soeborg-01590981119a_st__tv,"Ærtemarken 119A, st. tv.",2860,Villalejlighed,Familie handel,25-06-2001,900000.0,2,2
aertemarken-119a-1-2860-soeborg-01590981119a__1____,"Ærtemarken 119A, 1.",2860,Villalejlighed,Tvangsauktion,05-08-2020,8592634.0,1,2
aertemarken-119a-1-2860-soeborg-01590981119a__1____,"Ærtemarken 119A, 1.",2860,Villalejlighed,Familie handel,25-06-2001,900000.0,2,2
aertemarken-119a-0-th-2860-soeborg-01590981119a_st__th,"Ærtemarken 119A, st. th.",2860,Villalejlighed,Tvangsauktion,05-08-2020,8592634.0,1,2
aertemarken-119a-0-th-2860-soeborg-01590981119a_st__th,"Ærtemarken 119A, st. th.",2860,Villalejlighed,Familie handel,25-06-2001,900000.0,2,2
taastrup-have-38-1-mf-2630-taastrup-01698960__38__1__mf,"Taastrup Have 38, 1. mf.",2630,Ejerlejlighed,Tvangsauktion,15-06-2020,1045000.0,1,3
taastrup-have-38-1-mf-2630-taastrup-01698960__38__1__mf,"Taastrup Have 38, 1. mf.",2630,Ejerlejlighed,Fri handel,21-02-2017,860000.0,2,3
taastrup-have-38-1-mf-2630-taastrup-01698960__38__1__mf,"Taastrup Have 38, 1. mf.",2630,Ejerlejlighed,Fri handel,28-05-2015,645000.0,3,3
nyhoejsvej-12-2630-taastrup-01695495__12_______,Nyhøjsvej 12,2630,Villa,Tvangsauktion,28-02-2020,2123700.0,1,2
nyhoejsvej-12-2630-taastrup-01695495__12_______,Nyhøjsvej 12,2630,Villa,Fri handel,11-01-1999,1309000.0,2,2
topperne-5-2-22-2620-albertslund-01650532___5__2__22,"Topperne 5, 2. 22.",2620,Ejerlejlighed,Tvangsauktion,13-01-2020,1058347.0,1,3
topperne-5-2-22-2620-albertslund-01650532___5__2__22,"Topperne 5, 2. 22.",2620,Ejerlejlighed,Andet,03-11-2007,621430.0,2,3
topperne-5-2-22-2620-albertslund-01650532___5__2__22,"Topperne 5, 2. 22.",2620,Ejerlejlighed,Fri handel,27-09-2005,820000.0,3,3
